Players,PG,SG,SF,PF,C,Year 1,Year 2,Year 3,Year 4,Year 5,Salary,SUNS,EWA,TS%,AST,TO,REBR,POP
LeBron James,0,0,1,1,0,0,1,0,0,1,33.285709,0,25.8,0.57,8.6,6.4,14,1
James Harden,1,1,1,0,0,0,0,0,0,0,28.299399,0,22.7,0.604,25.1,11.9,18.6,1
Anthony Davis,0,0,0,1,1,0,0,0,1,0,23.775506,0,22,0.576,15.5,10.6,8.7,1
Giannis Antetokounmpo,1,0,1,1,0,0,0,0,1,0,22.47191,0,21.6,0.675,21.2,10.5,9,1
Karl-Anthony Towns,0,0,0,1,1,0,1,0,0,1,6.21684,0,19.7,0.558,18.3,7.8,6.5,1
Russell Westbrook,1,1,0,0,0,0,0,0,0,0,28.530608,0,18.9,0.61,18.6,8.5,6.4,1
Damian Lillard,1,1,0,0,0,0,0,0,1,0,26.153057,0,17.6,0.589,19.4,7.2,8.5,1
Kevin Durant,0,0,1,1,0,0,1,0,0,1,25,0,16.9,0.647,7.3,10.9,22.3,1
Andre Drummond,0,0,0,0,1,0,0,0,1,0,23.775506,0,15.8,0.573,20.3,8.1,5,1
LaMarcus Aldridge,0,0,0,1,1,0,1,0,0,1,21.46101,0,15.7,0.576,19.1,10.6,4.3,0
Nikola Jokic,0,0,0,0,1,0,1,0,0,1,1.471382,0,15.3,0.63,10.3,12,23.7,1
Victor Oladipo,1,1,1,0,0,0,0,0,1,0,21,0,15.2,0.63,8.2,11.9,15.4,1
Stephen Curry,1,1,0,0,0,0,0,0,0,1,34.68255,0,14,0.573,11.7,13.8,19.5,1
DeMar DeRozan,0,1,1,0,0,0,0,0,1,0,27.739975,0,13.9,0.604,31.1,8.8,9.8,0
Kyrie Irving,1,1,0,0,0,0,0,1,0,0,18.868625,0,13.5,0.576,6.9,14.2,21.9,1
Jimmy Butler,0,1,1,0,0,0,0,1,0,0,19.30107,0,13.4,0.563,16.7,9.7,6.9,1
Clint Capela,0,0,0,0,1,1,0,0,1,0,2.33452,0,13.3,0.553,31.5,13.2,12.7,0
Kemba Walker,1,1,0,0,0,0,1,0,0,1,12,0,13,0.567,13.5,10.7,8.6,1
Lou Williams,1,1,0,0,0,0,0,0,1,0,7,0,12.5,0.652,12,14.3,26.4,0
Enes Kanter,0,0,0,0,1,0,1,0,0,1,20.566802,0,12.3,0.583,16.7,15.8,19.3,0
Steven Adams,0,0,0,0,1,0,0,0,1,0,22.47191,0,12.2,0.605,30.1,10,9.7,0
Joel Embiid,0,0,0,1,1,0,0,0,0,0,6.100266,0,11.8,0.631,8.6,12,21.4,1
Chris Paul,1,0,0,0,0,1,0,0,1,0,24.599495,0,11.7,0.545,13.2,7.3,5.9,1
Dwight Howard,0,0,0,0,1,0,1,0,0,1,23.5,0,11.4,0.578,16.6,9.8,8.4,0
Bradley Beal,1,1,1,0,0,0,0,0,1,0,23.775506,0,11.2,0.6,13.5,6.1,11.5,1
Ben Simmons,1,1,1,1,0,0,0,1,0,0,6.16884,0,11.2,0.574,20.9,12.7,7.1,1
DeAndre Jordan,0,0,0,0,1,0,1,0,0,1,22.64235,0,11,0.566,23.2,10.5,6.8,0
Paul George,0,1,1,0,0,0,1,0,0,1,19.508958,0,11,0.609,13.3,13.8,15.9,1
DeMarcus Cousins,0,0,0,1,1,1,0,0,1,0,18.06385,0,10.5,0.605,9.7,8.7,18.8,1
Kyle Lowry,1,1,0,0,0,0,0,1,0,0,28.703704,0,10.4,0.663,9.9,13.6,18.9,0
CJ McCollum,1,1,0,0,0,0,0,0,1,0,23.962573,0,9.6,0.561,20.9,9.1,9.6,0
Jonas Valanciunas,0,0,0,0,1,0,0,1,0,0,15.460675,0,9.6,0.58,6.7,12.2,25.5,0
Khris Middleton,0,1,1,0,0,0,0,1,0,0,14.1,0,9.6,0.567,11.8,6.3,8.9,0
Otto Porter Jr.,0,1,1,1,0,0,0,0,1,0,24.77325,0,9.2,0.527,10.2,13,18.2,0
Eric Bledsoe,1,1,0,0,0,0,1,0,0,1,14.5,0,9.1,0.533,17.8,11.4,14.3,0
Jrue Holiday,1,1,0,0,0,0,0,0,0,1,25.686667,0,8.8,0.544,20.4,10.1,11.9,0
Kevin Love,0,0,0,1,1,0,0,1,0,0,22.64235,0,8.8,0.656,8.7,8.8,13.2,1
Julius Randle,0,0,0,1,1,1,0,0,1,0,4.149242,0,8.8,0.541,6.3,6.2,8.3,0
Rudy Gobert,0,0,0,0,1,0,0,0,1,0,21.974719,0,8.6,0.594,10.7,9.2,14.5,1
Tyreke Evans,1,1,1,0,0,1,0,0,1,0,3.29,0,8.6,0.541,14.5,10.9,6.1,0
Hassan Whiteside,0,0,0,0,1,0,0,1,0,0,23.775506,0,8.5,0.608,31.8,7.6,5,1
Tobias Harris,0,0,1,1,0,0,1,0,0,1,16,0,8.5,0.534,15.5,9.3,16.9,0
Jusuf Nurkic,0,0,0,0,1,1,0,0,1,0,2.947305,0,8.2,0.543,9.7,7.3,10.1,0
Marc Gasol,0,0,0,0,1,0,0,1,0,0,22.64235,0,8.1,0.54,22,10.3,19,0
Blake Griffin,0,0,0,1,0,0,0,0,0,1,29.5129,0,8,0.561,15.4,11.8,7,0
Montrezl Harrell,0,0,0,1,1,1,0,0,1,0,1.471382,0,7.9,0.539,4.9,8,11.3,0
TJ Warren,0,0,1,1,0,0,0,0,0,1,3.152931,1,7.7,0.619,25.8,11.8,13.1,0
Derrick Favors,0,0,0,1,1,1,0,0,1,0,12,0,7.4,0.599,15.2,9.3,4.3,0
Darren Collison,1,1,0,0,0,0,1,0,0,1,10,0,7.4,0.602,12.6,8.4,6.2,0
Donovan Mitchell,1,1,1,0,0,0,0,0,1,0,2.62128,0,7.4,0.556,20.8,9.4,8.5,0
Harrison Barnes,0,0,1,1,0,0,0,1,0,0,23.112004,0,7.3,0.515,22.4,9.8,5.6,0
Nikola Vucevic,0,0,0,0,1,0,1,0,0,1,12.25,0,7.3,0.547,11.5,8.8,16.2,0
Pau Gasol,0,0,0,1,1,0,0,1,0,0,16,0,7.2,0.542,20.8,9.6,7.2,0
Devin Booker,1,1,1,0,0,0,1,0,0,1,2.31936,1,7.1,0.616,23.1,11.4,8.5,1
Kristaps Porzingis,0,0,0,1,1,0,1,0,0,1,4.5036,0,6.9,0.575,27,10.6,12.8,1
Gary Harris,1,1,0,0,0,0,0,0,0,1,2.550055,0,6.9,0.66,13.2,9.3,14.8,0
Klay Thompson,0,1,1,0,0,0,1,0,0,1,17.82615,0,6.6,0.557,15.4,7.6,9.1,1
Dennis Schroder,1,0,0,0,0,0,0,0,1,0,15.5,0,6.6,0.525,14.9,9.8,14.2,1
Will Barton,0,1,1,0,0,1,0,0,1,0,3.533333,0,6.6,0.58,9.7,10.2,13.3,0
Bobby Portis,0,0,0,1,1,0,1,0,0,1,1.51632,0,6.5,0.578,16.6,10.9,6.6,0
Al Horford,0,0,0,1,1,0,0,1,0,0,27.734405,0,6.4,0.549,14.1,9.8,12.7,1
Goran Dragic,1,1,0,0,0,0,0,1,0,0,17.00045,0,6.4,0.612,14,8.6,17.1,0
Dwight Powell,0,0,0,1,1,0,0,1,0,0,9.003125,0,6.3,0.577,12.4,5.3,12.9,0
Jeremy Lamb,0,1,0,0,0,0,1,0,0,1,7,0,6.3,0.628,10.8,12.7,17.2,0
Willie Cauley-Stein,0,0,0,1,1,0,1,0,0,1,3.70416,0,6.2,0.557,10.7,12.6,13.9,0
Jamal Murray,1,1,0,0,0,0,0,1,0,0,3.35532,0,6.2,0.613,12.5,12.5,20,0
Myles Turner,0,0,0,1,1,0,1,0,0,1,2.56992,0,6.2,0.63,23.1,14.9,18.5,0
Rondae Hollis-Jefferson,1,0,1,1,0,0,1,0,0,1,1.471382,0,6.2,0.57,14.8,13.5,18,0
Larry Nance Jr.,0,0,0,1,1,0,1,0,0,1,1.471382,0,5.9,0.55,31.7,11.5,5.3,0
Dirk Nowitzki,0,0,0,1,1,0,1,0,0,1,5,0,5.8,0.557,36.4,13.7,13.4,1
John Collins,0,0,0,1,1,0,0,0,1,0,1.93692,0,5.8,0.526,32.6,7.7,6,0
